Субъект РФ;Численность студентов, всего человек, 2015;Численность студентов, очная форма, человек, 2015;Численность студентов очно-заочная (вечерняя) форма, человек, 2015;Численность студентов заочная форма, человек, 2015;Численность студентов, всего человек, 2017;Численность студентов, очная форма, человек, 2017;Численность студентов очно-заочная (вечерняя) форма, человек, 2017;Численность студентов заочная форма, человек, 2017;Численность студентов, всего человек, 2018;Численность студентов, очная форма, человек, 2018;Численность студентов очно-заочная (вечерняя) форма, человек, 2018;Численность студентов заочная форма, человек, 2018;Численность студентов, всего человек, 2019;Численность студентов, очная форма, человек, 2019;Численность студентов очно-заочная (вечерняя) форма, человек, 2019;Численность студентов заочная форма, человек, 2019;;
   Республика Башкортостан;114417;55654;2406;56357;103552;53325;2663;47564;100525;51167;2899;46459;97187;49655;3363;44169;;
   Республика Марий Эл;19645;9888;398;9359;19038;10475;836;7727;18357;10534;968;6855;17267;10531;1009;5727;;
   Республика Мордовия;30148;15363;608;14177;27813;15511;661;11641;26365;15373;610;10382;25461;15252;801;9408;;
   Республика Татарстан;163201;81514;2140;79547;149927;84529;2497;62901;146913;85309;3571;58033;143941;87243;4412;52286;;
   Удмуртская Республика;51290;20760;1329;29201;45690;21183;1198;23309;44054;20863;1008;22183;43388;20708;1407;21273;;
   Чувашская Республика;38349;16364;1835;20150;35403;16231;2879;16293;34387;16626;1947;15814;34458;16754;1916;15788;;
   Пермский край;66369;32017;2270;32082;56572;31384;1889;23299;55169;31664;2066;21439;54033;32026;2221;19786;;
   Кировская область;36202;16778;375;19049;32854;16573;475;15806;31199;16649;847;13703;28911;16102;1011;11798;;
   Нижегородская область;98192;47643;4525;46024;88173;46804;4764;36605;84776;46023;5062;33691;83490;46965;5138;31387;;
   Оренбургская область;53322;22454;750;30118;46315;22872;728;22715;45891;23137;770;21984;43510;22619;1006;19885;;
   Пензенская область;40159;18151;2717;19291;33648;18939;2023;12686;33296;18984;1755;12557;32503;18711;1789;12003;;
   Самарская область;110963;56512;4726;49725;99850;56299;2630;40921;96920;55197;3151;38572;94568;55142;4000;35426;;
